dataset,pipeline,architecture,condition,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,train_time_s,infer_time_s
home_har_data,rolling_variance,CNN_LSTM,BN,-1,42,0.2797,0.2797,0.2268,0.2268,0.3779,0.2797,0.3779,0.2797,0.1597,0.1754,0.5861,6.5255,0.8658,0.1659,0.3387,0.3455,8956.22,12.8438
home_har_data,rolling_variance,CNN_LSTM,BN+Whiten,-1,42,0.2883,0.2883,0.2208,0.2208,0.3344,0.2883,0.3344,0.2883,0.1697,0.2118,0.5757,6.7242,0.8638,0.1619,0.3579,0.329,6146.48,51.625
home_har_data,rolling_variance,CNN_LSTM,CORAL,-1,42,0.2871,0.2871,0.2318,0.2318,0.3448,0.2871,0.3448,0.2871,0.1683,0.1823,0.5639,5.5739,0.851,0.1562,0.4003,0.329,10736.44,24.9375
home_har_data,rolling_variance,CNN_LSTM,FS20perclass,-1,42,0.1932,0.1932,0.1525,0.1525,0.2217,0.1932,0.2217,0.1932,0.0588,0.0755,0.6741,8.0085,0.8673,0.1546,0.3366,0.3059,7094.39,17.0469
home_har_data,rolling_variance,CNN_LSTM,noBN,-1,42,0.5027,0.5027,0.4255,0.4255,0.4085,0.5027,0.4085,0.5027,0.4198,0.4422,0.4406,6.9759,0.9433,0.1183,0.1386,0.2438,9922.3,24.1094
home_har_data,rolling_variance,Conv1D,BN,-1,42,0.2976,0.2976,0.2493,0.2493,0.336,0.2976,0.336,0.2976,0.1805,0.1917,0.4679,3.4622,0.7655,0.1865,0.5688,0.3567,4978.33,11.9219
home_har_data,rolling_variance,Conv1D,BN+Whiten,-1,42,0.266,0.266,0.2156,0.2156,0.3558,0.266,0.3558,0.266,0.1436,0.1556,0.5182,3.9623,0.784,0.1948,0.5728,0.4196,4632.77,11.9688
home_har_data,rolling_variance,Conv1D,CORAL,-1,42,0.1315,0.1315,0.0376,0.0376,0.0595,0.1315,0.0595,0.1315,-0.0132,-0.0357,0.0842,1.9694,0.2158,0.0362,1.8989,0.0848,6860.62,12.9375
home_har_data,rolling_variance,Conv1D,FS20perclass,-1,42,0.1869,0.1869,0.1485,0.1485,0.1546,0.1869,0.1546,0.1869,0.0514,0.0546,0.4755,4.1508,0.6623,0.1822,0.8415,0.3622,4580.39,10.7656
home_har_data,rolling_variance,Conv1D,noBN,-1,42,0.4568,0.4568,0.3923,0.3923,0.3958,0.4568,0.3958,0.4568,0.3662,0.3859,0.4388,6.1327,0.8954,0.1553,0.2605,0.3432,4866.31,10.6406
home_har_data,rolling_variance,MLP,BN,-1,42,0.3483,0.3483,0.3533,0.3533,0.415,0.3483,0.415,0.3483,0.2396,0.2498,0.2917,2.2524,0.618,0.1928,0.9991,0.4089,3304.14,6.2812
home_har_data,rolling_variance,MLP,BN+Whiten,-1,42,0.298,0.298,0.2997,0.2997,0.3805,0.298,0.3805,0.298,0.181,0.1914,0.2777,2.0655,0.5758,0.1898,1.0935,0.4006,3379.7,3.8438
home_har_data,rolling_variance,MLP,CORAL,-1,42,0.1658,0.1658,0.0749,0.0749,0.0976,0.1658,0.0976,0.1658,0.0267,0.0392,0.0761,1.9761,0.2419,0.0319,1.821,0.0767,4099.8,3.8906
home_har_data,rolling_variance,MLP,FS20perclass,-1,42,0.2589,0.2589,0.2222,0.2222,0.2202,0.2589,0.2202,0.2589,0.1354,0.1443,0.3175,3.7704,0.5764,0.1532,1.0101,0.2674,3325.55,5.3906
home_har_data,rolling_variance,MLP,noBN,-1,42,0.4528,0.4528,0.3862,0.3862,0.4956,0.4528,0.4956,0.4528,0.3616,0.3796,0.3227,2.8189,0.7754,0.2213,0.5586,0.4669,7121.0,5.1875
home_har_data,rolling_variance,ResMLP,BN,-1,42,0.2783,0.2783,0.2514,0.2514,0.3978,0.2783,0.3978,0.2783,0.158,0.1705,0.4828,2.7188,0.761,0.179,0.6678,0.3857,3869.08,5.0625
home_har_data,rolling_variance,ResMLP,BN+Whiten,-1,42,0.2625,0.2625,0.2254,0.2254,0.334,0.2625,0.334,0.2625,0.1396,0.155,0.4941,3.3388,0.7565,0.1801,0.6848,0.3972,4095.77,6.2969
home_har_data,rolling_variance,ResMLP,CORAL,-1,42,0.209,0.209,0.1545,0.1545,0.2015,0.209,0.2015,0.209,0.0772,0.096,0.0523,1.8863,0.203,0.0398,1.8869,0.0945,5231.72,6.1562
home_har_data,rolling_variance,ResMLP,FS20perclass,-1,42,0.1829,0.1829,0.1433,0.1433,0.183,0.1829,0.183,0.1829,0.0468,0.051,0.576,4.3944,0.7579,0.166,0.618,0.3188,3869.19,5.0938
home_har_data,rolling_variance,ResMLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0003,1.9459,0.1431,0.0,1.9459,0.0,10801.91,5.0156
home_occupation_data,rolling_variance,CNN_LSTM,BN,-1,42,0.9713,0.9713,0.9712,0.9712,0.9727,0.9713,0.9727,0.9713,0.9569,0.9577,0.0181,0.0908,0.983,0.0672,0.0402,0.1328,5738.98,7.2656
home_occupation_data,rolling_variance,CNN_LSTM,BN+Whiten,-1,42,0.8317,0.8317,0.8158,0.8158,0.8731,0.8317,0.8731,0.8317,0.7475,0.7755,0.1449,1.693,0.9757,0.082,0.0576,0.1643,4107.97,4.9375
home_occupation_data,rolling_variance,CNN_LSTM,CORAL,-1,42,0.8844,0.8844,0.8808,0.8808,0.9132,0.8844,0.9132,0.8844,0.8267,0.8433,0.1073,0.9866,0.9917,0.0469,0.0205,0.0953,7689.94,7.8438
home_occupation_data,rolling_variance,CNN_LSTM,FS20perclass,-1,42,0.9686,0.9686,0.9686,0.9686,0.9688,0.9686,0.9688,0.9686,0.9529,0.9531,0.0206,0.168,0.9884,0.0516,0.0306,0.1073,4208.7,8.3906
home_occupation_data,rolling_variance,CNN_LSTM,noBN,-1,42,0.9579,0.9579,0.9576,0.9576,0.9615,0.9579,0.9615,0.9579,0.9369,0.9389,0.0322,0.2087,0.9895,0.051,0.027,0.1085,6012.75,10.0469
home_occupation_data,rolling_variance,Conv1D,BN,-1,42,0.9092,0.9092,0.9076,0.9076,0.926,0.9092,0.926,0.9092,0.8637,0.8733,0.065,0.2121,0.9741,0.079,0.0662,0.1636,1086.81,1.4219
home_occupation_data,rolling_variance,Conv1D,BN+Whiten,-1,42,0.843,0.843,0.8339,0.8339,0.8918,0.843,0.8918,0.843,0.7645,0.7938,0.1436,1.3707,0.9857,0.0622,0.0367,0.125,1087.89,1.6094
home_occupation_data,rolling_variance,Conv1D,CORAL,-1,42,0.8684,0.8684,0.8633,0.8633,0.9028,0.8684,0.9028,0.8684,0.8026,0.823,0.1179,0.8086,0.9864,0.0577,0.0369,0.1197,2372.02,2.0312
home_occupation_data,rolling_variance,Conv1D,FS20perclass,-1,42,0.9686,0.9686,0.9685,0.9685,0.9688,0.9686,0.9688,0.9686,0.9529,0.9531,0.0092,0.1066,0.9639,0.0893,0.0983,0.1964,1393.25,2.2031
home_occupation_data,rolling_variance,Conv1D,noBN,-1,42,0.9639,0.9639,0.9637,0.9637,0.9661,0.9639,0.9661,0.9639,0.9459,0.9472,0.0205,0.1162,0.9819,0.0707,0.0464,0.1403,1986.16,1.4844
home_occupation_data,rolling_variance,MLP,BN,-1,42,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953,0.9953,0.993,0.993,0.0029,0.0374,0.9959,0.0219,0.0159,0.0568,1081.61,1.125
home_occupation_data,rolling_variance,MLP,BN+Whiten,-1,42,0.9813,0.9813,0.9813,0.9813,0.9817,0.9813,0.9817,0.9813,0.9719,0.9722,0.0074,0.0706,0.9744,0.0784,0.0662,0.1556,1118.92,0.7656
home_occupation_data,rolling_variance,MLP,CORAL,-1,42,0.9339,0.9339,0.9332,0.9332,0.9432,0.9339,0.9432,0.9339,0.9008,0.906,0.0309,0.1307,0.9641,0.1002,0.0802,0.1853,1316.28,0.7656
home_occupation_data,rolling_variance,MLP,FS20perclass,-1,42,0.9486,0.9486,0.9484,0.9484,0.9546,0.9486,0.9546,0.9486,0.9228,0.926,0.0337,0.252,0.9812,0.0641,0.0516,0.1337,1065.25,0.8125
home_occupation_data,rolling_variance,MLP,noBN,-1,42,0.9659,0.9659,0.9659,0.9659,0.9677,0.9659,0.9677,0.9659,0.9489,0.9499,0.0208,0.1111,0.9867,0.0545,0.0382,0.1214,2052.44,0.5469
home_occupation_data,rolling_variance,ResMLP,BN,-1,42,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.985,0.985,0.011,0.0598,0.9834,0.0593,0.0469,0.135,1257.53,0.875
home_occupation_data,rolling_variance,ResMLP,BN+Whiten,-1,42,0.9646,0.9646,0.9646,0.9646,0.9673,0.9646,0.9673,0.9646,0.9469,0.9483,0.013,0.1017,0.9775,0.0802,0.0503,0.1491,1162.27,1.4062
home_occupation_data,rolling_variance,ResMLP,CORAL,-1,42,0.9906,0.9906,0.9907,0.9907,0.9907,0.9906,0.9907,0.9906,0.986,0.986,0.0067,0.0426,0.9866,0.0428,0.0489,0.0972,1293.52,0.4844
home_occupation_data,rolling_variance,ResMLP,FS20perclass,-1,42,0.9713,0.9713,0.9714,0.9714,0.9716,0.9713,0.9716,0.9713,0.9569,0.957,0.0181,0.1365,0.9887,0.0554,0.0285,0.1097,1050.72,0.7969
home_occupation_data,rolling_variance,ResMLP,noBN,-1,42,0.9866,0.9866,0.9866,0.9866,0.9867,0.9866,0.9867,0.9866,0.98,0.98,0.006,0.0582,0.989,0.0499,0.0359,0.0983,3136.38,0.6719
office_har_data,rolling_variance,CNN_LSTM,BN,-1,42,0.733,0.6728,0.6811,0.6165,0.6731,0.733,0.6027,0.6728,0.6338,0.6779,0.2404,3.6987,0.9508,0.0984,0.1417,0.2245,2493.91,2.4531
office_har_data,rolling_variance,CNN_LSTM,BN+Whiten,-1,42,0.7229,0.6601,0.6714,0.6064,0.6632,0.7229,0.5954,0.6601,0.619,0.662,0.2339,4.3206,0.9539,0.1103,0.1196,0.2325,2286.25,2.0156
office_har_data,rolling_variance,CNN_LSTM,CORAL,-1,42,0.733,0.6728,0.6953,0.6287,0.7029,0.733,0.6276,0.6728,0.636,0.6701,0.2147,3.5991,0.9469,0.1291,0.1214,0.2396,2552.36,2.3281
office_har_data,rolling_variance,CNN_LSTM,FS20perclass,-1,42,0.8866,0.8906,0.887,0.8853,0.8917,0.8866,0.8848,0.8906,0.8472,0.8484,0.0958,1.9005,0.9805,0.0657,0.0561,0.1477,2143.91,1.9062
office_har_data,rolling_variance,CNN_LSTM,noBN,-1,42,0.927,0.934,0.9287,0.9231,0.937,0.927,0.92,0.934,0.902,0.9042,0.0559,0.727,0.9746,0.0771,0.0733,0.1619,2407.56,2.5156
office_har_data,rolling_variance,Conv1D,BN,-1,42,0.7632,0.699,0.7196,0.651,0.7061,0.7632,0.6321,0.699,0.6766,0.7015,0.2239,2.2639,0.9736,0.0779,0.0827,0.1842,1104.62,0.875
office_har_data,rolling_variance,Conv1D,BN+Whiten,-1,42,0.7103,0.6541,0.6759,0.6122,0.6939,0.7103,0.6195,0.6541,0.6058,0.6424,0.2534,3.1485,0.9637,0.1041,0.0918,0.2131,1030.25,1.1406
office_har_data,rolling_variance,Conv1D,CORAL,-1,42,0.7506,0.6848,0.7068,0.6397,0.688,0.7506,0.6192,0.6848,0.6584,0.6802,0.2271,2.418,0.9696,0.0853,0.088,0.189,1216.55,0.8594
office_har_data,rolling_variance,Conv1D,FS20perclass,-1,42,0.8841,0.8802,0.8853,0.8761,0.8941,0.8841,0.8791,0.8802,0.8439,0.8467,0.077,1.1224,0.9391,0.1287,0.1421,0.2552,1037.19,0.8281
office_har_data,rolling_variance,Conv1D,noBN,-1,42,0.9169,0.9262,0.9179,0.9165,0.9246,0.9169,0.914,0.9262,0.8883,0.89,0.068,0.8995,0.9802,0.072,0.0537,0.1393,888.14,1.2656
office_har_data,rolling_variance,MLP,BN,-1,42,0.7003,0.6441,0.6543,0.5923,0.6395,0.7003,0.5696,0.6441,0.5915,0.6113,0.1656,1.1074,0.8549,0.1459,0.3921,0.2756,567.83,0.2188
office_har_data,rolling_variance,MLP,BN+Whiten,-1,42,0.7305,0.667,0.687,0.622,0.6664,0.7305,0.5996,0.667,0.6309,0.6509,0.2354,1.5759,0.88,0.1496,0.3321,0.2944,580.05,0.2656
office_har_data,rolling_variance,MLP,CORAL,-1,42,0.7305,0.6659,0.6861,0.6209,0.6613,0.7305,0.5954,0.6659,0.6305,0.6486,0.1825,1.1181,0.8965,0.1455,0.2898,0.2732,746.09,0.3594
office_har_data,rolling_variance,MLP,FS20perclass,-1,42,0.8942,0.8992,0.8954,0.8946,0.8995,0.8942,0.8938,0.8992,0.8573,0.8581,0.1106,1.1727,0.9002,0.1378,0.2515,0.2808,558.66,0.2812
office_har_data,rolling_variance,MLP,noBN,-1,42,0.8615,0.8739,0.8625,0.8656,0.8702,0.8615,0.866,0.8739,0.8135,0.8154,0.0686,0.7278,0.8716,0.1695,0.3052,0.3036,1445.53,0.4219
office_har_data,rolling_variance,ResMLP,BN,-1,42,0.6196,0.5548,0.5797,0.5242,0.5537,0.6196,0.5051,0.5548,0.4723,0.4839,0.2706,2.012,0.8903,0.1561,0.2703,0.3056,722.03,0.4844
office_har_data,rolling_variance,ResMLP,BN+Whiten,-1,42,0.6725,0.609,0.6367,0.5722,0.6502,0.6725,0.5845,0.609,0.5512,0.582,0.226,2.1573,0.8872,0.1849,0.2752,0.3842,800.2,0.3906
office_har_data,rolling_variance,ResMLP,CORAL,-1,42,0.6171,0.5584,0.5721,0.5174,0.5332,0.6171,0.4821,0.5584,0.4721,0.48,0.259,1.8076,0.8739,0.1694,0.2826,0.2968,997.44,0.4531
office_har_data,rolling_variance,ResMLP,FS20perclass,-1,42,0.7254,0.662,0.683,0.619,0.6704,0.7254,0.6055,0.662,0.6236,0.6468,0.2013,1.3645,0.9259,0.1268,0.1855,0.2638,767.84,0.4219
office_har_data,rolling_variance,ResMLP,noBN,-1,42,0.8615,0.875,0.8606,0.862,0.8705,0.8615,0.8604,0.875,0.8142,0.8177,0.0719,0.6576,0.8922,0.1659,0.2636,0.326,1792.67,0.6094
office_localization_data,rolling_variance,CNN_LSTM,BN,-1,42,0.842,0.7205,0.7934,0.6789,0.7543,0.842,0.6455,0.7205,0.777,0.791,0.1376,0.7574,0.9784,0.0576,0.0673,0.1442,2404.83,6.4219
office_localization_data,rolling_variance,CNN_LSTM,BN+Whiten,-1,42,0.8771,0.8039,0.8652,0.8145,0.8789,0.8771,0.8732,0.8039,0.8286,0.833,0.0833,0.7934,0.9604,0.1054,0.0841,0.1957,2447.39,6.1875
office_localization_data,rolling_variance,CNN_LSTM,CORAL,-1,42,0.8414,0.7262,0.8003,0.6962,0.8191,0.8414,0.7774,0.7262,0.7765,0.7893,0.1348,0.7277,0.9762,0.0727,0.0647,0.1527,3289.73,5.1562
office_localization_data,rolling_variance,CNN_LSTM,FS20perclass,-1,42,0.9356,0.9217,0.9355,0.9255,0.936,0.9356,0.93,0.9217,0.9115,0.9117,0.0491,0.3647,0.9848,0.0583,0.0406,0.1239,2394.52,5.1094
office_localization_data,rolling_variance,CNN_LSTM,noBN,-1,42,0.9292,0.9299,0.9287,0.9172,0.9334,0.9292,0.9111,0.9299,0.9034,0.905,0.0508,0.3554,0.98,0.0735,0.0515,0.1501,2455.61,5.7812
office_localization_data,rolling_variance,Conv1D,BN,-1,42,0.8315,0.7115,0.788,0.6743,0.7577,0.8315,0.6485,0.7115,0.7624,0.7783,0.1446,0.8119,0.974,0.0765,0.0774,0.1672,741.94,1.5156
office_localization_data,rolling_variance,Conv1D,BN+Whiten,-1,42,0.8917,0.8534,0.8893,0.859,0.8888,0.8917,0.8676,0.8534,0.8508,0.8513,0.0613,0.5657,0.9531,0.1108,0.1035,0.2132,732.8,1.5781
office_localization_data,rolling_variance,Conv1D,CORAL,-1,42,0.8063,0.6968,0.7658,0.6681,0.7994,0.8063,0.7804,0.6968,0.7269,0.738,0.1486,0.7178,0.9546,0.1069,0.1346,0.2543,1571.45,2.1406
office_localization_data,rolling_variance,Conv1D,FS20perclass,-1,42,0.8888,0.8878,0.8908,0.873,0.8974,0.8888,0.8659,0.8878,0.8487,0.85,0.0833,0.7524,0.9722,0.0867,0.0695,0.1794,1069.38,1.9375
office_localization_data,rolling_variance,Conv1D,noBN,-1,42,0.921,0.9236,0.9202,0.9075,0.9285,0.921,0.9024,0.9236,0.8924,0.8953,0.0571,0.6753,0.9771,0.0699,0.0621,0.1457,694.14,1.7656
office_localization_data,rolling_variance,MLP,BN,-1,42,0.9035,0.9004,0.904,0.8833,0.9122,0.9035,0.8771,0.9004,0.8687,0.8711,0.0649,0.5164,0.9615,0.0926,0.0981,0.1909,554.91,0.5156
office_localization_data,rolling_variance,MLP,BN+Whiten,-1,42,0.8233,0.7059,0.784,0.6732,0.7568,0.8233,0.6562,0.7059,0.7515,0.7619,0.1372,0.5702,0.9605,0.093,0.1046,0.1887,616.03,0.7188
office_localization_data,rolling_variance,MLP,CORAL,-1,42,0.7841,0.6737,0.7552,0.6499,0.7396,0.7841,0.6385,0.6737,0.6993,0.7067,0.0998,0.4694,0.8839,0.1837,0.2952,0.3732,688.17,0.5781
office_localization_data,rolling_variance,MLP,FS20perclass,-1,42,0.8584,0.8228,0.861,0.8246,0.8668,0.8584,0.8292,0.8228,0.8057,0.8069,0.1065,0.8919,0.9649,0.0937,0.0817,0.1811,556.33,0.75
office_localization_data,rolling_variance,MLP,noBN,-1,42,0.9356,0.9381,0.9348,0.9294,0.937,0.9356,0.9242,0.9381,0.912,0.913,0.0363,0.6017,0.9695,0.0731,0.0892,0.1585,2122.61,0.6094
office_localization_data,rolling_variance,ResMLP,BN,-1,42,0.8888,0.8632,0.8881,0.8602,0.8886,0.8888,0.8583,0.8632,0.8476,0.8481,0.0731,0.5646,0.9619,0.0944,0.0918,0.188,661.33,0.7031
office_localization_data,rolling_variance,ResMLP,BN+Whiten,-1,42,0.8408,0.7318,0.8101,0.7133,0.8094,0.8408,0.7468,0.7318,0.7766,0.7862,0.1007,0.551,0.9416,0.1049,0.1523,0.2125,994.25,1.25
office_localization_data,rolling_variance,ResMLP,CORAL,-1,42,0.8678,0.8712,0.8648,0.846,0.8822,0.8678,0.845,0.8712,0.8207,0.827,0.1463,0.8015,0.7593,0.1265,0.5992,0.2356,864.28,0.9688
office_localization_data,rolling_variance,ResMLP,FS20perclass,-1,42,0.8455,0.8179,0.8477,0.8202,0.8536,0.8455,0.8258,0.8179,0.7879,0.7893,0.1247,1.0596,0.9688,0.0892,0.0742,0.1742,848.42,0.9375
office_localization_data,rolling_variance,ResMLP,noBN,-1,42,0.9204,0.9231,0.9201,0.9084,0.926,0.9204,0.9018,0.9231,0.8915,0.8935,0.0631,1.1908,0.9835,0.063,0.0429,0.1261,1614.05,0.7188
